Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,NVIDIA RTX 2080,MPPI-Generic,16384,1.4182700000000001,0.061324199999999995
Intel i9-13900K,NVIDIA RTX 2080,torchrl,16384,32.36972546577455,1.5297938237929058
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,128,0.147546,0.0316142
Intel i9-13900K,NVIDIA RTX 3080,autorally,128,0.245459,0.11845599999999999
Intel i9-13900K,NVIDIA RTX 3080,torchrl,128,24.774477720260617,1.7285244075806638
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,256,0.152581,0.027063
Intel i9-13900K,NVIDIA RTX 3080,autorally,256,0.242785,0.029394
Intel i9-13900K,NVIDIA RTX 3080,torchrl,256,28.486258745193496,1.4503232266742216
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,512,0.153557,0.0344778
Intel i9-13900K,NVIDIA RTX 3080,autorally,512,0.246625,0.0368777
Intel i9-13900K,NVIDIA RTX 3080,torchrl,512,28.58349537849425,1.6530155953965393
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,1024,0.16343,0.0271352
Intel i9-13900K,NVIDIA RTX 3080,autorally,1024,0.259898,0.0357351
Intel i9-13900K,NVIDIA RTX 3080,torchrl,1024,28.67716479301454,1.7465106956588452
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,2048,0.191848,0.03305
Intel i9-13900K,NVIDIA RTX 3080,autorally,2048,0.26205100000000003,0.038966900000000006
Intel i9-13900K,NVIDIA RTX 3080,torchrl,2048,28.675570487976056,1.4639399921002507
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,4096,0.24887199999999998,0.0388457
Intel i9-13900K,NVIDIA RTX 3080,autorally,4096,0.275967,0.0425595
Intel i9-13900K,NVIDIA RTX 3080,torchrl,4096,28.75650024414064,1.6315110333037954
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,6144,0.306363,0.03910159999999999
Intel i9-13900K,NVIDIA RTX 3080,autorally,6144,0.324317,0.04304330000000001
Intel i9-13900K,NVIDIA RTX 3080,torchrl,6144,28.83032083511354,1.6471700242597969
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,8192,0.35896,0.0371319
Intel i9-13900K,NVIDIA RTX 3080,autorally,8192,0.36046100000000003,0.044851199999999994
